File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	1910	219	5.21322e+08	2323970230	9939630913	2.602	0.152	5.64028	1.12956	17.1086	2.43465	0.980405	0.626814	13.037	2.184	0.1
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	1535	182	5.78001e+08	7822634002	20641068091	3.522	0.095	5.95986	1.35547	4.9574	2.7507	0.845533	0.282734	12.488	2.227	0.121
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	2049	278	1.41899e+09	11830666635	41138548841	3.629	0.098	3.76131	1.37556	3.61303	2.73914	0.934981	0.261411	12.375	2.222	0.144
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	1245	169	1.70987e+08	9367735479	25738551093	3.502	0.095	5.56985	1.57941	5.05848	3.23495	1	0.269282	11.76	2.175	0.122
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	1915	233	1.16958e+09	9609958062	30131170243	3.626	0.098	7.32279	1.54726	7.6504	3.02276	0.973335	0.310507	12.625	2.24	0.143
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	1242	161	5.40124e+08	5777132558	15071713050	3.461	0.094	4.25987	1.29747	3.68806	2.90925	0.43879	0.356874	12.659	2.234	0.15
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	2115	263	1.00455e+09	8948853817	25951245392	3.588	0.097	6.86561	1.24739	7.27856	2.60273	1	0.241099	12.525	2.243	0.148
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	1708	202	7.60814e+08	8580173250	26747073207	3.571	0.097	7.40327	1.35337	8.05594	2.78027	0.97254	0.360639	12.272	2.239	0.155
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	2606	409	5.71342e+08	5961576942	14688369657	3.417	0.092	5.89823	1.35923	5.01743	2.86647	1	0.320875	11.898	2.21	0.147
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	1764	292	4.94745e+08	7811405446	20120566621	3.421	0.092	2.76249	1.37905	3.18737	2.87723	1	0.273968	11.754	2.182	0.154
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	1827	223	1.58832e+08	1408620800	7073606252	2.518	0.147	3.29571	1.46032	11.415	3.12987	1	0.662251	12.358	2.131	0.09
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	1070	135	1.50733e+08	1080910171	8627917333	2.545	0.148	3.75936	1.35283	9.35051	2.90734	1	0.846233	12.682	2.163	0.068
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	547	0	6.63213e+07	1659609642	4486335822	2.455	0.143	2.80289	1.12427	19.3054	1.91556	0.90745	1.09545	12.946	2.127	0.061
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	1244	167	2.79415e+08	2763829314	9632445709	2.563	0.149	4.40188	1.3146	11.874	2.44938	0.302005	0.605373	12.919	2.194	0.084
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	999	161	1.21496e+08	8209430949	9308777563	2.464	0.144	3.01358	1.40745	4.00635	2.92958	1	0.617453	13.075	2.144	0.076
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	1148	149	1.16454e+08	2053877147	6350843870	2.495	0.145	15.3737	1.12911	9.12438	2.11979	1	0.63051	12.556	2.132	0.073
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	2318	313	3.73559e+08	3026978726	10128590468	2.577	0.15	4.45309	1.39613	14.9825	2.3956	1	0.843644	12.554	2.135	0.077
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	1284	159	1.30816e+08	3921531322	4038801070	2.428	0.142	4.02249	1.50877	13.3568	2.7933	0.631	0.674715	12.727	2.166	0.103
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	922	107	6.88255e+07	2325212325	3495183731	2.478	0.144	1.29579	1.07144	5.64175	3.0738	0.999912	0.751085	12.861	2.138	0.071
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML	1250	144	1.38609e+08	1611818125	5721307255	2.51	0.146	3.82085	1.32249	8.88108	2.95597	1	0.618434	12.645	2.096	0.078
